"ID",Date","Device","Domain","Query","Destination","Type","Column","Paid","Sitelinks","Position","Subposition","Estimated Position","SEO Position","Estimated SEO Position","SEM Position","Estimated SEM Position","URL"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","organic","main",,0,1,1,1,1,1,,,"https://www.welt.de/newsticker/news1/article168015603/Tausende-Demonstranten-setzen-in-Cambrils-Zeichen-gegen-den-Terror.html"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","organic","main",,0,2,1,2,2,2,,,"https://www.zdf.de/nachrichten/heute/nach-anschlaegen-in-spanien-tausende-demonstranten-setzen-in-100.html"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","organic","main",,0,3,1,3,3,3,,,"http://www.fm1today.ch/tausende-demonstranten-setzen-in-cambrils-zeichen-gegen-den-terror/570428"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","organic","main",,0,4,1,4,4,4,,,"https://www.blick.ch/news/ausland/terrorismus-spanien-tausende-demonstranten-setzen-in-cambrils-zeichen-gegen-den-terror-id7208586.html"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","video","main",,0,5,1,5,5,5,,,"http://video.tagesspiegel.de/zehntausende-demonstrieren-in-cambrils-gegen-terrorismus.html"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","organic","main",,0,6,1,6,6,6,,,"https://www.jetzt.de/politik/gegen-terror-nach-anschlaegen-protest-in-cambrils"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","organic","main",,0,7,1,7,7,7,,,"http://www.spiegel.de/politik/ausland/barcelona-hunderttausende-katalanen-demonstrieren-fuer-unabhaengigkeit-a-1167189.html"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","organic","main",,0,8,1,8,8,8,,,"http://www.spiegel.de/panorama/barcelona-500-000-menschen-demonstrieren-gegen-terror-und-gewalt-a-1164748.html"
856712,"2017-12-13 15:28:46","desktop",".de","demonstration cambrils","cambrils","organic","main",,0,9,1,9,9,9,,,"http://www.zeit.de/gesellschaft/zeitgeschehen/2017-08/barcelona-demonstration-terror-no-tinc-por"
